,epochs,train_loss_resnet44,val_loss_resnet44,train_acc_resnet44,val_acc_resnet44
0,0,2.132102890222434,1.9058476243263636,0.20648429990387696,0.2714342948717949
1,1,1.8426693460949717,1.7945679531773124,0.2987624158923422,0.3192431561996779
2,2,1.7628763149045132,1.7377923682883933,0.3368311438641461,0.34541062801932365
3,3,1.706265345478394,1.6758388111940712,0.36150272348606216,0.3704710144927536
4,4,1.6624692147147078,1.6394935567981763,0.3770025632809997,0.3834541062801932
5,5,1.6224921540318678,1.6095948230817123,0.3945450176225569,0.4001610305958132
6,6,1.591121022879256,1.5734176211503008,0.40804229413649473,0.4119363929146538
7,7,1.5598991338124224,1.5398291074903308,0.41961710990067286,0.428341384863124
8,8,1.532408055263007,1.5192402743295004,0.4331143864146107,0.43699677938808373
9,9,1.5045573432565462,1.5001028937418104,0.4445289971163089,0.4414251207729469
10,10,1.4841573445776342,1.4788772533865175,0.45069689202178786,0.45722624798711753
11,11,1.4585391446513574,1.4608556796195233,0.4619312720281961,0.4600442834138486
12,12,1.4379673832236708,1.4437019337394579,0.4695410124959949,0.4658816425120773
13,13,1.4216811458333414,1.430949125888843,0.4762696251201538,0.47041062801932365
14,14,1.3991259452586982,1.4106113254160122,0.48706344120474204,0.48077697262479874
15,15,1.384223065632958,1.3853926140329111,0.4920498237744313,0.49184782608695654
16,16,1.3686495672163006,1.3973538865981663,0.49991989746876003,0.4889291465378422
17,17,1.352894129030447,1.3749351643517782,0.5025632809996796,0.4950684380032206
18,18,1.3355451938396308,1.3901426918840638,0.5133170458186479,0.4893317230273752
19,19,1.321477029691022,1.3579282263434835,0.5168015059275873,0.5056360708534622
20,20,1.3063171920544137,1.3485095992372425,0.524411246395386,0.5085547504025765
21,21,1.2969226522424289,1.3289800554082014,0.5264939122076258,0.5143921095008052
22,22,1.2816196262206225,1.32793192529448,0.5350648830503044,0.5165056360708534
23,23,1.2662559032287402,1.3176475043458062,0.5417334187760333,0.5186191626409018
24,24,1.257589651047897,1.313846244328264,0.5446771867991028,0.5219404186795491
25,25,1.2436400688217832,1.3084954683715402,0.550044056392182,0.5213365539452496
26,26,1.2287296448255036,1.3101466980533323,0.556171900032041,0.524255233494364
27,27,1.2188115714643675,1.2996861111138753,0.5588553348285806,0.5285829307568438
28,28,1.2070023343563843,1.2890573943486727,0.5636614867029798,0.5308977455716586
29,29,1.1965047744786423,1.2876781699354138,0.5662247677026594,0.5363325281803543
30,30,1.1847872630177076,1.2683791221627867,0.5742149951938481,0.5408615136876006
31,31,1.1709403802629694,1.2841283115595818,0.5784404037167574,0.5369363929146538
32,32,1.164223808961127,1.2761518231528586,0.5803228132008972,0.5396537842190016
33,33,1.1487323838294756,1.283576814064849,0.5856896827939763,0.5351247987117552
34,34,1.139589792373508,1.266661637455177,0.5903556552387056,0.5507246376811594
35,35,1.129352658461852,1.260813321084408,0.5913769625120153,0.5432769726247987
36,36,1.114203002963911,1.2777849493395304,0.6005487023389939,0.5440821256038647
37,37,1.109705885531466,1.2610239704258008,0.6017302146747837,0.5479066022544283
38,38,1.0980380694096916,1.262170944236903,0.6050544697212432,0.5480072463768116
39,39,1.0874987571753587,1.2346356609977194,0.6106816725408523,0.5560587761674718
40,40,1.0759658946398167,1.2564958205353618,0.6137055430951618,0.5514291465378421
41,41,1.068686454046311,1.2522197702656621,0.6182513617430311,0.5516304347826086
42,42,1.058726133883133,1.23654328605787,0.6205743351489907,0.5623993558776168
43,43,1.0439325646306032,1.2324626514877097,0.6281640499839795,0.5607890499194848
44,44,1.0367018424788563,1.2363580870359607,0.6294857417494393,0.5583735909822867
45,45,1.020901653102788,1.260272318614278,0.6348325857097085,0.5536433172302737
46,46,1.0207716990876985,1.235784611840179,0.6327699455302788,0.5647141706924316
47,47,1.0056807023903682,1.2503848502025512,0.6411206344120475,0.5526368760064412
48,48,0.9912411390455516,1.2533245781577536,0.6479694008330663,0.5583735909822867
49,49,0.9866572004295014,1.2341346351036895,0.6481496315283563,0.561292270531401
50,50,0.974576766465727,1.239373362198736,0.6511735020826658,0.5631038647342995
51,51,0.9605546169119056,1.2466743871593629,0.6580022428708747,0.5632045088566827
52,52,0.95513462546696,1.2386200489437331,0.6592438321050945,0.5582729468599034
53,53,0.945722233233105,1.2539384798919138,0.6638096763857738,0.5603864734299517
54,54,0.9301852555047316,1.2208569917509906,0.6699375200256328,0.5694444444444444
55,55,0.9208564648296694,1.2609184164547882,0.6712792374239026,0.5634057971014492
56,56,0.9166727399871885,1.232310075306854,0.674743671900032,0.5691425120772947
57,57,0.9001272825123752,1.262805122876129,0.6819729253444409,0.5604871175523349
58,58,0.8936973898428368,1.2321057394506851,0.6852571291252804,0.5611916264090178
59,59,0.8819445226865485,1.2676474961681643,0.68786046139058,0.5571658615136876
60,60,0.8698692714812778,1.2665469227973583,0.6924863825696892,0.5631038647342995
61,61,0.8592098609295765,1.3032884983624813,0.6968319448894585,0.5494162640901772
62,62,0.8486039273366833,1.2780878198319587,0.6998157641781481,0.5530394524959742
63,63,0.842562812391225,1.2929968004641326,0.7017445582586428,0.5536433172302737
64,64,0.8313808875102275,1.2774987585494675,0.7062820718409236,0.5611916264090178
65,65,0.8217201127298595,1.287912957334288,0.7110100929189362,0.5619967793880838
66,66,0.8136506744471547,1.2664850318681407,0.712171579621916,0.5668276972624798
67,67,0.7902979493637721,1.2780808404255988,0.7204822172380647,0.5662238325281803
68,68,0.7880071112835342,1.2882066024482346,0.7218239346363345,0.5639090177133655
69,69,0.7792185328015148,1.293641167178438,0.7225248317846844,0.5657206119162641
70,70,0.765551206126728,1.3308738169654748,0.7278716757449536,0.5567632850241546
71,71,0.7580518657281976,1.309480631025133,0.7333946862996159,0.5645128824476651
72,72,0.748233705606118,1.3110704077422715,0.7348861449647209,0.5669283413848631
73,73,0.7290832307315033,1.3203128236503416,0.743772028196091,0.5606884057971014
74,74,0.729836652510908,1.337246542007643,0.742157490396927,0.553743961352657
75,75,0.7169233218762567,1.3641409601374332,0.7448083707504811,0.561292270531401
76,76,0.7019555765785723,1.362439408586413,0.7530038449214995,0.5592793880837359
77,77,0.6939572916795564,1.3573348019242095,0.7552867670618392,0.562097423510467
78,78,0.6916041754255383,1.3995333708426803,0.756147869272669,0.5551529790660226
79,79,0.6692480277037323,1.370975273626822,0.7656800704902275,0.5630032206119162
80,80,0.6627432976117389,1.3677962248644007,0.7675624799743672,0.5598832528180354
81,81,0.6518587492017248,1.3611388671033433,0.7718279397628965,0.57085346215781
82,82,0.6508346127226199,1.3761983570461305,0.7708266581223967,0.5611916264090178
83,83,0.6353167303859023,1.4499111603615558,0.7785565523870555,0.544182769726248
84,84,0.6246999926538048,1.3857831747635552,0.7791573213713553,0.5628019323671497
85,85,0.6155128765579375,1.4750145049870687,0.7819902368758003,0.5554549114331723
86,86,0.6083678653065863,1.4351453358808386,0.7871632456703015,0.5570652173913043
87,87,0.6026907010324412,1.4069994906872367,0.7869472925344441,0.5671296296296297
88,88,0.5849523623758919,1.4318976087462691,0.7925144184556232,0.5559581320450886
89,89,0.5851083294927444,1.4229161086673705,0.7927947773149632,0.561694847020934
90,90,0.5723513659090997,1.4648285720275411,0.7986222364626723,0.5548510466988728
91,91,0.5563247423453118,1.4565057366750473,0.8041493111182313,0.5647141706924316
92,92,0.5457390359447997,1.5523336720735363,0.8076337712271707,0.551731078904992
93,93,0.5412927667745525,1.522508738697439,0.8094761294456905,0.5528381642512077
94,94,0.5356005265024448,1.4873399853514397,0.8120994873438001,0.5483091787439613
95,95,0.5270978312429729,1.4920165181735863,0.8150632809996796,0.5570652173913043
96,96,0.5214849494657849,1.5703931641847424,0.8144224607497597,0.5487117552334944
97,97,0.5110198931600833,1.5193478736708514,0.8195890740147389,0.5500201288244766
98,98,0.5020708768499925,1.585766120809288,0.8235942005767383,0.542975040257649
99,99,0.4839750625353064,1.5636361678057438,0.831223966677347,0.5480072463768116
100,100,0.4899389304743482,1.601586886074232,0.8268784043575776,0.5515297906602254
101,101,0.4815432470087744,1.5455254003429566,0.831324094841397,0.5630032206119162
102,102,0.471469373628139,1.6102889716721196,0.8347084267862864,0.5540458937198067
103,103,0.45666773937635413,1.5797553267839834,0.8399551425825056,0.5653180354267311
104,104,0.44869889500199145,1.6586551121083626,0.843229833546735,0.5527375201288245
105,105,0.44104546408878065,1.6807999480365747,0.84471215522771,0.5337157809983897
106,106,0.43547614766251996,1.7640054986096811,0.8466437039410445,0.543377616747182
107,107,0.4217114190152348,1.6592337635980137,0.8528516501121436,0.5462962962962963
108,108,0.4263787595832703,1.7341161726369565,0.8518103172060237,0.5426731078904992
109,109,0.4223362767746035,1.6734703804175828,0.8536326497917334,0.5553542673107891
110,110,0.4018071101037251,1.7106459033278067,0.8600208266581224,0.5432769726247987
111,111,0.39342710882835913,1.8122107886653784,0.8646467478372316,0.5295893719806763
112,112,0.3959368894551664,1.690225527866259,0.862524030759372,0.5560587761674718
113,113,0.3776138635512046,1.7277058775682188,0.8697583226632523,0.5509259259259259
114,114,0.3836254268559682,1.843623254802108,0.86700208466966,0.534219001610306
115,115,0.3667834416600001,1.7170079910044893,0.8728772829221403,0.5558574879227053
116,116,0.3711752656826947,1.747782541549916,0.8721563601409804,0.5493156199677939
117,117,0.3551494374522717,1.7891283803132036,0.8769825376481897,0.5489130434782609
118,118,0.3536335347134958,1.8444102850897108,0.8772428708747196,0.5427737520128825
119,119,0.3411318005296291,1.8925454841143843,0.880887536046139,0.5336151368760065
120,120,0.3409101320251765,1.7774487094602722,0.8812419974391805,0.5514291465378421
121,121,0.32839973486907365,1.8119452322162868,0.8859044259140475,0.5519323671497585
122,122,0.3219297674748043,1.856746192139704,0.8884972765139378,0.5500201288244766
123,123,0.3135148989520824,1.8469909101292707,0.8928657170294494,0.5474033816425121
124,124,0.3085870376529412,1.9174591501553853,0.8926996472097498,0.5440821256038647
125,125,0.3083182728149369,1.836893632216154,0.8930257682458387,0.5489130434782609
126,126,0.3087773556244828,1.9171209675102419,0.8929629926305671,0.5385466988727858
127,127,0.2988447441341328,1.8791985888028107,0.8973500641436819,0.5463969404186796
128,128,0.29267851932024375,1.9034884486605388,0.8993878040973111,0.5408615136876006
129,129,0.29329168681841467,1.9117340715227111,0.9002164849262347,0.5403582930756844
130,130,0.2783404556996774,1.9871579686992602,0.9051986542774751,0.5466988727858293
131,131,0.2816780367003768,1.8993880863926837,0.9035966036526755,0.5438808373590982
132,132,0.2702204746452901,1.989394755947033,0.9075016020506248,0.5481078904991948
133,133,0.2715194166585139,2.006842959714205,0.9081424223005446,0.5404589371980676
134,134,0.2739791550513301,1.9431747186587052,0.9053188080743352,0.5488123993558777
135,135,0.2559245079469589,1.9647793455016402,0.9118317861715749,0.5510265700483091
136,136,0.2516878777037672,2.0361948550803266,0.9138096763857738,0.5496175523349437
137,137,0.25669481408871314,2.0293933443017242,0.9114215843489416,0.5463969404186796
138,138,0.24409080016731413,2.027704423176494,0.9178148029477732,0.5431763285024155
139,139,0.23529947139370458,2.0276354764394715,0.921114756722151,0.5399557165861514
140,140,0.24179108048035902,1.955576840998086,0.91787604233483,0.5561594202898551
141,141,0.23684185666462734,2.0192901043884226,0.9191965716116629,0.5406602254428341
142,142,0.2308331558391934,2.0933979187226717,0.9216597244472925,0.5408615136876006
143,143,0.22545925932448477,2.018289606352359,0.9239426465876321,0.5548510466988728
144,144,0.22701779070934858,2.0355356933606035,0.9228412367830824,0.542169887278583
145,145,0.21819634705027569,2.0653964545991688,0.9275472604934316,0.5408615136876006
146,146,0.21673457237609264,2.1735363851230884,0.9268063120794617,0.5301932367149759
147,147,0.2181869445751203,2.0187431955875024,0.9259452098686318,0.5491143317230274
148,148,0.20354686102608158,2.0483083840153644,0.931872797180391,0.5492149758454107
149,149,0.20251668366588335,2.181904075610273,0.9319729253444409,0.5387479871175523
